CountryID;CountryName;HighIncome;Income;Development;Region;WorldRank;RegionRank;2022Score;PropertyRights;JudicialEffectiveness;GovernmentIntegrity;TaxBurden;GovernmentSpending;FiscalHealth;BusinessFreedom;LaborFreedom;MonetaryFreedom;TradeFreedom;InvestmentFreedom;FinancialFreedom;TariffRate;IncomeTaxRate;CorporateTaxRate;TaxBurdenofGDP;GovernmentExpenditurofGDP ;Population;GDP;GDP_GrowthRate;5Year_GDP_GrowthRate;GDPperCapita;Unemployment;Inflation;FDIInflow;PublicDebt
1;Afghanistan;0;low income;developing;Asia-Pacific;;;;;;;;;;;;;;;;;20,0;20,0;7,5;;38,9;$78,7 ;-5,0;1,0;$2 390;11,7;5,6;13,0;7,8
2;Albania;0;middle income;developing;Europe;50;30;66,6;55,5;49,8;35,6;89,1;72,1;70,6;70,7;51,1;82,0;82,6;70;70;3,7;23,0;15,0;18,3;30,5;2,8;$40,7 ;-3,5;2,0;$14 218;11,7;1,6;1 107,0;76,0
3;Algeria;0;middle income;developing;Middle East and North Africa;167;13;45,8;27,9;29,7;30,1;67,2;57,1;38,6;50,0;51,5;80,1;57,4;30;30;13,8;35,0;26,0;37,2;37,8;43,9;$491,5 ;-6,0;0,1;$11 112;12,8;2,4;1 125,0;53,1
4;Angola;0;middle income;developing;Sub-Saharan Africa;139;29;52,6;39,8;25,3;20,6;86,6;86,4;80,0;37,6;53,9;61,2;70,0;30;40;7,5;25,0;25,0;9,4;21,3;32,9;$215,1 ;-4,0;-1,9;$6 932;7,7;22,3;-1 866,0;127,1
5;Argentina;0;middle income;developing;Americas;144;27;50,1;35,1;57,9;45,1;73,3;53,0;16,8;55,1;51,0;37,9;60,6;55;60;12,2;35,0;25,0;28,6;39,6;45,4;$941,8 ;-10,0;-2,8;$20 751;11,7;42,0;4 123,0;103,0
6;Armenia;0;middle income;developing;Europe;58;34;65,3;50,4;33,1;50,8;86,9;78,9;75,5;64,9;47,2;77,5;73,6;75;70;5,7;22,0;18,0;22,5;26,5;3,0;$39,4 ;-7,6;2,6;$13 261;20,2;1,2;117,0;62,8
7;Australia;1;high income;developed;Asia-Pacific;12;4;77,7;91,7;95,2;87,0;62,5;51,6;52,0;84,6;64,2;83,2;90,0;80;90;2,5;45,0;30,0;28,7;40,2;25,7;$1 329,9 ;-2,4;1,5;$51 680;6,6;0,9;20 146,0;63,1
8;Austria;1;high income;developed;Europe;22;15;73,8;98,4;94,6;82,9;45,5;20,3;71,7;82,3;78,4;82,3;79,2;80;70;2,9;55,0;25,0;42,4;51,6;8,9;$491,5 ;-6,6;0,4;$55 218;5,8;1,4;-17 340,0;85,2
9;Azerbaijan;0;middle income;developing;Europe;75;37;61,6;53,6;15,9;28,6;87,7;62,7;99,1;64,6;55,9;74,5;66,6;70;60;9,2;25,0;20,0;14,3;35,3;10,1;$145,8 ;-4,3;-0,7;$14 431;6,3;2,8;507,0;21,4
10;Bahamas;1;high income;developed;Americas;38;6;68,7;61,1;78,8;64,3;96,5;85,8;67,3;63,3;69,3;79,2;49,0;50;60;18;0,0;0,0;18,7;21,7;0,4;$12,8 ;-16,3;-1,5;$33 148;14,4;0,0;897,0;68,6
11;Bahrain;1;high income;developing;Middle East and North Africa;74;4;62,0;65,9;27,4;41,6;99,9;65,5;0,0;60,2;54,9;81,1;83,0;85;80;6;0,0;0,0;3,0;33,9;1,7;$73,8 ;-5,4;1,2;$48 766;4,1;-2,3;1 007,0;132,9
12;Bangladesh;0;middle income;developing;Asia-Pacific;137;29;52,7;36,3;28,1;22,2;82,6;93,2;54,0;55,6;36,6;70,0;63,8;50;40;10,6;25,0;32,5;7,7;15,0;164,7;$874,0 ;3,8;6,8;$5 307;5,3;5,6;2 564,0;38,9
13;Barbados;1;high income;developing;Americas;28;4;71,3;72,6;88,2;68,7;80,6;70,8;79,7;64,7;63,4;78,6;58,4;70;60;13,3;28,5;5,5;33,1;31,2;0,3;$3,9 ;-17,6;-3,1;$13 553;12,8;2,9;262,0;149,0
14;Belarus;0;middle income;developing;Europe;135;45;53,0;34,5;15,5;43,7;93,3;56,7;95,3;54,5;46,8;70,2;75,6;30;20;4,7;13,0;18,0;13,3;38,0;9,4;$189,9 ;-0,9;0,7;$20 187;5,3;5,5;1 397,0;48,0
15;Belgium;1;high income;developed;Europe;37;24;69,6;92,5;91,2;83,6;48,2;10,1;50,3;82,8;57,4;84,3;79,2;85;70;2,9;50,0;29,0;42,9;54,8;11,6;$588,8 ;-6,4;0,0;$51 096;6,0;0,4;8 437,0;115,0
16;Belize;0;middle income;developing;Americas;109;22;56,6;34,7;70,2;38,1;77,0;64,1;37,6;54,0;59,9;82,5;55,6;55;50;17,2;25,0;25,0;32,4;34,6;0,4;$2,5 ;-14,1;-1,5;$6 046;7,8;0,1;76,0;127,4
17;Benin;0;middle income;developing;Sub-Saharan Africa;81;6;61,0;44,3;55,3;40,3;68,4;91,6;83,4;47,7;59,6;80,4;61,4;50;50;11,8;45,0;30,0;15,4;16,7;12,1;$41,7 ;2,0;4,9;$3 437;2,5;3,0;176,0;45,4
18;Bhutan;0;middle income;developing;Asia-Pacific;94;19;59,3;67,2;60,9;73,5;82,4;71,6;72,4;62,9;57,2;72,7;40,8;20;30;22,1;25,0;30,0;15,4;30,7;0,8;$9,0 ;-0,8;4,2;$12 060;3,7;4,2;3,0;120,7
19;Bolivia;0;middle income;developing;Americas;169;30;43,0;14,1;28,4;28,7;86,0;58,8;10,9;54,7;46,2;72,8;60,8;15;40;9,6;13,0;25,0;24,7;37,1;11,7;$97,8 ;-7,7;1,4;$8 344;5,6;0,9;-1 048,0;67,3
20;Bosnia and Herzegovina;0;middle income;developing;Europe;68;36;63,4;49,2;37,2;33,4;94,0;46,2;95,9;66,6;60,2;84,9;68,8;65;60;8,1;10,0;10,0;20,1;42,4;3,3;$49,3 ;-5,5;1,5;$15 047;16,9;-0,6;371,0;38,3
21;Botswana;0;middle income;developing;Sub-Saharan Africa;61;3;64,8;74,2;70,1;61,4;87,4;59,8;19,2;56,7;61,6;75,4;77,2;65;70;6,4;25,0;22,0;12,1;36,6;2,4;$39,6 ;-8,3;1,3;$16 893;17,7;2,0;80,0;20,0
22;Brazil;0;middle income;developing;Americas;133;26;53,3;50,3;57,2;40,0;69,9;53,8;0,4;63,2;55,9;78,4;60,0;60;50;10;27,5;34,0;33,1;39,2;212,6;$3 153,6 ;-4,1;-0,6;$14 916;13,7;3,2;24 778,0;98,9
23;Bulgaria;0;middle income;developed;Europe;29;20;71,0;77,3;61,1;45,6;93,9;60,5;96,2;72,1;64,4;81,9;79,2;60;60;2,9;10,0;10,0;20,3;36,3;6,9;$164,6 ;-3,8;2,1;$23 817;5,7;1,2;2 426,0;23,8
